lang	precision	recall	f1-score	support
tgk	0.99	0.99	0.99	100
tgl	0.96	0.99	0.98	100
tha	0.93	1.00	0.96	100
ton	1.00	0.98	0.99	100
tsn	0.96	0.96	0.96	100
tuk	1.00	0.99	0.99	100
tur	0.87	0.90	0.88	100
tyv	1.00	0.98	0.99	100
udm	0.97	0.98	0.98	100
uig	1.00	1.00	1.00	100
ukr	0.96	1.00	0.98	100
urd	0.99	0.99	0.99	100
uzb	0.97	1.00	0.99	100
vec	0.97	0.97	0.97	100
vep	1.00	0.99	0.99	100
vie	0.97	0.99	0.98	100
vls	0.98	0.98	0.98	100
vol	0.98	1.00	0.99	100
vro	0.96	0.97	0.97	100
war	1.00	1.00	1.00	100
wln	1.00	1.00	1.00	100
wol	0.98	0.93	0.95	100
wuu	0.96	0.90	0.93	100
xho	1.00	0.96	0.98	100
xmf	1.00	1.00	1.00	100
yid	1.00	0.98	0.99	100
yor	1.00	0.85	0.92	100
zea	0.97	0.86	0.91	100
zh-yue	0.93	0.91	0.92	100
zho	0.93	0.94	0.94	100
