lang	precision	recall	f1-score	support
rue	0.86	0.88	0.87	500
rup	0.94	0.86	0.90	500
rus	0.70	0.87	0.78	500
sah	0.94	0.97	0.95	500
san	0.97	0.93	0.95	500
scn	0.92	0.94	0.93	500
sco	0.85	0.88	0.86	500
sgs	0.96	0.96	0.96	500
sin	0.98	0.95	0.96	500
slk	0.88	0.95	0.91	500
slv	0.83	0.89	0.86	500
sme	0.95	0.95	0.95	500
sna	0.90	0.92	0.91	500
snd	0.96	0.99	0.97	500
som	0.94	0.94	0.94	500
spa	0.60	0.64	0.62	500
sqi	0.97	0.95	0.96	500
srd	0.90	0.93	0.91	500
srn	0.98	0.95	0.96	500
srp	0.95	0.89	0.92	500
stq	0.92	0.94	0.93	500
sun	0.92	0.92	0.92	500
swa	0.94	0.93	0.94	500
swe	0.95	0.96	0.96	500
szl	0.95	0.94	0.94	500
tam	1.00	0.98	0.99	500
tat	0.96	0.94	0.95	500
tcy	0.95	0.94	0.95	500
tel	0.99	0.95	0.97	500
tet	0.92	0.86	0.89	500
tgk	0.96	0.96	0.96	500
tgl	0.93	0.95	0.94	500
tha	0.95	0.96	0.96	500
ton	1.00	0.98	0.99	500
tsn	0.94	0.97	0.95	500
tuk	0.96	0.97	0.97	500
tur	0.84	0.90	0.87	500
tyv	0.95	0.96	0.96	500
udm	0.96	0.92	0.94	500
uig	1.00	0.99	0.99	500
ukr	0.91	0.91	0.91	500
urd	0.96	0.95	0.95	500
uzb	0.91	0.98	0.95	500
vec	0.94	0.87	0.90	500
vep	0.95	0.96	0.96	500
vie	0.98	0.98	0.98	500
vls	0.83	0.88	0.85	500
vol	0.98	0.98	0.98	500
vro	0.93	0.92	0.93	500
war	1.00	0.99	1.00	500
wln	0.97	0.98	0.98	500
wol	0.97	0.92	0.94	500
wuu	0.85	0.80	0.83	500
xho	0.91	0.92	0.91	500
xmf	0.97	0.94	0.96	500
yid	0.98	0.97	0.98	500
yor	0.86	0.87	0.86	500
zea	0.85	0.83	0.84	500
zh-yue	0.78	0.85	0.81	500
zho	0.86	0.80	0.83	500
